name,port,siz,atm,hyd,pop,gov,law,tl,uwp
System-2538,X,2,4,9,3,3,3,2,X249333-2
System-2539,C,5,5,2,5,3,0,9,C552530-9
System-2540,C,3,3,2,4,0,2,8,C332402-8
System-2541,D,1,3,0,B,A,7,B,D130BA7-B
System-2542,B,8,A,7,6,6,5,8,B8A7665-8
System-2543,X,3,0,1,5,1,0,3,X301510-3
System-2544,X,5,7,2,6,6,6,0,X572666-0
System-2545,C,6,6,5,8,D,D,4,C6658DD-4
System-2546,E,2,4,7,6,1,3,7,E247613-7
System-2547,E,7,B,8,7,5,3,6,E7B8753-6
System-2548,B,8,6,5,5,9,9,6,B865599-6
System-2549,D,5,5,4,9,6,9,8,D554969-8
System-2550,B,8,B,7,4,6,4,B,B8B7464-B
System-2551,E,7,8,4,6,7,7,2,E784677-2
System-2552,E,7,B,4,9,9,D,5,E7B499D-5
System-2553,X,8,A,6,4,2,4,0,X8A6424-0
System-2554,C,3,2,6,4,5,5,9,C326455-9
System-2555,B,2,3,0,5,3,3,9,B230533-9
System-2556,B,1,2,0,7,5,6,E,B120756-E
System-2557,E,6,7,A,1,3,2,6,E67A132-6
System-2558,B,3,0,0,6,6,3,8,B300663-8
System-2559,E,6,6,3,3,0,1,3,E663301-3
System-2560,E,2,3,8,9,C,G,A,E2389CG-A
System-2561,X,8,B,A,6,6,6,2,X8BA666-2
System-2562,D,0,0,0,A,A,B,C,D000AAB-C
System-2563,B,7,A,3,5,5,1,8,B7A3551-8
System-2564,D,6,4,2,0,0,0,5,D642000-5
System-2565,C,B,A,6,5,9,D,9,CBA659D-9
System-2566,C,8,6,5,2,2,2,5,C865222-5
System-2567,E,6,3,2,4,4,0,5,E632440-5
System-2568,E,3,3,3,7,3,1,3,E333731-3
System-2569,B,5,6,9,7,4,8,A,B569748-A
System-2570,A,8,8,A,4,3,6,C,A88A436-C
System-2571,E,6,8,9,5,2,0,4,E689520-4
System-2572,D,5,5,6,1,0,0,5,D556100-5
System-2573,D,5,4,6,9,8,5,5,D546985-5
System-2574,X,6,5,2,0,2,6,2,X652026-2
System-2575,X,9,9,6,6,9,5,0,X996695-0
System-2576,X,1,0,0,4,3,8,2,X100438-2
System-2577,C,6,3,5,9,D,A,9,C6359DA-9
System-2578,B,7,4,0,4,3,3,9,B740433-9
System-2579,E,5,9,9,8,9,A,5,E59989A-5
System-2580,C,1,1,0,6,A,7,6,C1106A7-6
System-2581,X,8,8,4,5,5,8,1,X884558-1
System-2582,X,2,6,9,3,3,2,4,X269332-4
System-2583,X,1,1,0,6,7,7,4,X110677-4
System-2584,D,7,5,5,7,A,8,3,D7557A8-3
System-2585,E,6,7,7,4,5,6,3,E677456-3
System-2586,E,7,6,4,E,D,A,4,E764EDA-4
System-2587,E,4,3,1,5,9,9,6,E431599-6
System-2588,X,7,9,8,4,4,3,3,X798443-3
System-2589,D,8,7,8,2,5,5,5,D878255-5
System-2590,B,4,4,3,5,6,8,8,B443568-8
System-2591,X,7,5,4,6,8,A,0,X75468A-0
System-2592,C,7,C,A,7,6,3,A,C7CA763-A
System-2593,B,3,7,9,9,7,7,9,B379977-9
System-2594,E,3,7,A,4,2,0,6,E37A420-6
System-2595,D,6,8,7,6,6,5,1,D687665-1
System-2596,X,7,A,5,8,7,B,2,X7A587B-2
System-2597,X,E,C,8,7,B,7,1,XEC87B7-1
System-2598,E,7,8,A,4,1,0,6,E78A410-6
System-2599,X,8,9,A,7,6,4,0,X89A764-0
System-2600,C,5,7,6,6,7,2,8,C576672-8
System-2601,X,1,2,0,3,3,3,1,X120333-1
System-2602,C,D,D,A,6,B,D,7,CDDA6BD-7
System-2603,B,6,4,5,2,3,1,B,B645231-B
System-2604,E,5,5,4,2,1,2,3,E554212-3
System-2605,C,7,7,7,2,0,0,A,C777200-A
System-2606,C,6,9,8,4,5,5,7,C698455-7
System-2607,C,8,5,6,5,6,5,7,C856565-7
System-2608,D,5,6,5,5,4,1,4,D565541-4
System-2609,E,4,7,4,3,5,7,7,E474357-7
System-2610,C,8,5,7,8,8,9,5,C857889-5
System-2611,C,1,1,0,6,4,6,9,C110646-9
System-2612,E,7,7,9,5,7,6,4,E779576-4
System-2613,B,1,2,0,5,3,1,D,B120531-D
System-2614,A,2,2,0,8,C,E,D,A2208CE-D
System-2615,E,4,6,9,1,1,0,7,E469110-7
System-2616,B,2,0,0,3,5,8,B,B200358-B
System-2617,D,5,5,7,6,4,5,4,D557645-4
System-2618,B,4,2,4,4,0,0,D,B424400-D
System-2619,C,5,3,4,6,7,7,9,C534677-9
System-2620,E,6,7,7,1,0,1,5,E677101-5
System-2621,B,5,8,A,4,7,8,A,B58A478-A
System-2622,B,4,3,5,2,3,2,9,B435232-9
System-2623,X,8,7,A,6,8,A,3,X87A68A-3
System-2624,E,4,5,A,5,A,8,8,E45A5A8-8
System-2625,C,6,6,6,5,5,3,6,C666553-6
System-2626,E,9,D,A,4,3,1,6,E9DA431-6
System-2627,X,7,A,4,4,8,8,0,X7A4488-0
System-2628,X,8,5,6,5,2,1,0,X856521-0
System-2629,E,5,3,2,1,0,1,5,E532101-5
System-2630,X,5,5,2,8,7,6,0,X552876-0
System-2631,E,4,1,1,7,5,6,7,E411756-7
System-2632,X,2,0,0,6,8,3,0,X200683-0
System-2633,C,6,3,6,3,2,5,9,C636325-9
System-2634,C,4,2,1,3,0,1,9,C421301-9
System-2635,D,3,5,7,3,0,0,9,D357300-9
System-2636,C,5,7,7,7,7,7,5,C577777-5
System-2637,X,6,6,8,4,1,6,0,X668416-0
System-2638,C,3,0,0,1,0,0,B,C300100-B
System-2639,B,8,5,4,2,2,5,9,B854225-9
System-2640,E,0,0,0,6,2,2,5,E000622-5
System-2641,X,7,B,8,1,0,0,5,X7B8100-5
System-2642,C,0,0,0,0,3,0,A,C000030-A
System-2643,E,0,0,0,5,3,5,8,E000535-8
System-2644,E,9,7,7,2,2,2,2,E977222-2
System-2645,E,5,4,1,1,1,0,7,E541110-7
System-2646,D,1,0,0,6,9,8,8,D100698-8
System-2647,E,3,3,1,6,9,9,5,E331699-5
System-2648,B,1,0,0,D,E,E,D,B100DEE-D
System-2649,E,3,6,8,8,7,9,6,E368879-6
System-2650,E,4,6,5,2,2,5,6,E465225-6
System-2651,A,4,6,A,7,8,8,F,A46A788-F
System-2652,B,6,1,0,7,9,B,7,B61079B-7
System-2653,E,5,4,2,2,5,5,6,E542255-6
System-2654,E,9,8,4,5,8,C,6,E98458C-6
System-2655,X,3,4,1,1,4,5,2,X341145-2
System-2656,B,1,3,0,0,5,4,D,B130054-D
System-2657,X,5,3,5,7,5,1,4,X535751-4
System-2658,C,9,E,A,7,6,6,7,C9EA766-7
System-2659,E,4,2,4,5,9,8,5,E424598-5
System-2660,E,B,F,A,5,2,3,7,EBFA523-7
System-2661,X,3,2,1,6,9,6,0,X321696-0
System-2662,B,8,7,4,3,2,4,7,B874324-7
System-2663,E,4,5,2,8,9,A,4,E45289A-4
System-2664,B,8,C,A,8,8,9,B,B8CA889-B
System-2665,D,5,8,9,7,6,3,4,D589763-4
System-2666,D,4,8,7,8,7,6,7,D487876-7
System-2667,D,8,8,A,5,5,5,9,D88A555-9
System-2668,E,3,6,5,3,7,4,6,E365374-6
System-2669,C,4,7,7,3,4,6,9,C477346-9
System-2670,B,3,0,0,3,3,2,B,B300332-B
System-2671,C,9,9,8,3,0,1,6,C998301-6
System-2672,B,7,6,5,2,4,1,6,B765241-6
System-2673,B,7,5,7,6,7,7,A,B757677-A
System-2674,C,8,5,8,9,C,D,7,C8589CD-7
System-2675,C,7,8,5,8,6,9,4,C785869-4
System-2676,E,4,1,0,2,3,0,6,E410230-6
System-2677,D,3,6,7,6,3,7,2,D367637-2
System-2678,X,4,8,A,8,A,5,1,X48A8A5-1
System-2679,B,4,5,3,5,8,5,8,B453585-8
System-2680,D,5,5,2,4,5,7,7,D552457-7
System-2681,E,4,0,0,4,6,A,5,E40046A-5
System-2682,E,5,6,9,4,5,5,8,E569455-8
System-2683,X,8,7,5,5,2,0,1,X875520-1
System-2684,E,3,8,7,2,3,2,5,E387232-5
System-2685,D,5,4,1,3,1,4,3,D541314-3
System-2686,C,3,3,0,7,8,7,6,C330787-6
System-2687,C,8,A,6,9,5,7,8,C8A6957-8
System-2688,A,3,6,4,1,2,2,E,A364122-E
System-2689,C,9,A,7,2,0,0,8,C9A7200-8
System-2690,A,1,0,0,6,4,3,D,A100643-D
System-2691,X,4,6,7,8,8,B,0,X46788B-0
System-2692,D,2,5,2,1,4,5,4,D252145-4
System-2693,B,5,3,0,6,7,7,A,B530677-A
System-2694,E,4,7,7,4,5,5,8,E477455-8
System-2695,E,9,9,7,6,4,8,2,E997648-2
System-2696,X,7,8,6,3,3,5,1,X786335-1
System-2697,B,3,1,0,5,A,A,8,B3105AA-8
System-2698,B,3,5,7,5,8,9,9,B357589-9
System-2699,B,7,7,5,2,4,7,6,B775247-6
System-2700,D,2,2,4,4,6,8,8,D224468-8
System-2701,C,6,4,4,4,4,7,8,C644447-8
System-2702,E,4,3,5,5,4,2,4,E435542-4
System-2703,B,6,5,5,2,0,1,C,B655201-C
System-2704,C,3,0,0,5,5,5,B,C300555-B
System-2705,C,8,5,7,4,9,6,5,C857496-5
System-2706,X,7,A,2,1,4,1,0,X7A2141-0
System-2707,C,7,A,6,4,1,1,A,C7A6411-A
System-2708,E,6,6,7,4,6,8,3,E667468-3
System-2709,C,5,5,4,6,6,6,8,C554666-8
System-2710,E,4,0,0,9,6,5,9,E400965-9
System-2711,C,5,A,4,1,0,0,B,C5A4100-B
System-2712,D,3,3,5,4,1,4,7,D335414-7
System-2713,E,1,1,0,5,3,5,6,E110535-6
System-2714,B,6,1,0,4,2,5,A,B610425-A
System-2715,C,5,A,1,0,3,0,9,C5A1030-9
System-2716,A,1,2,0,7,9,9,C,A120799-C
System-2717,D,3,6,8,3,5,5,5,D368355-5
System-2718,X,6,3,2,4,2,4,3,X632424-3
System-2719,C,3,4,8,4,5,2,6,C348452-6
System-2720,E,5,7,A,6,5,5,8,E57A655-8
System-2721,D,7,A,5,8,B,F,5,D7A58BF-5
System-2722,E,2,0,0,3,2,4,7,E200324-7
System-2723,C,4,1,0,3,4,2,9,C410342-9
System-2724,D,0,0,0,5,7,6,7,D000576-7
System-2725,D,6,6,5,2,2,3,5,D665223-5
System-2726,C,0,0,0,3,2,1,A,C000321-A
System-2727,D,2,0,0,7,8,8,8,D200788-8
System-2728,X,8,5,5,7,4,4,1,X855744-1
System-2729,E,6,9,A,4,4,2,8,E69A442-8
System-2730,C,5,9,A,7,C,8,7,C59A7C8-7
System-2731,C,3,1,0,6,2,2,A,C310622-A
System-2732,D,9,A,4,8,5,5,8,D9A4855-8
System-2733,E,8,9,A,8,5,0,9,E89A850-9
System-2734,E,3,5,3,5,6,9,7,E353569-7
System-2735,E,9,9,5,1,3,2,2,E995132-2
System-2736,E,4,3,5,7,A,8,6,E4357A8-6
System-2737,E,6,6,4,6,4,9,4,E664649-4
System-2738,E,3,1,0,2,0,0,7,E310200-7
System-2739,E,3,0,1,5,6,8,9,E301568-9
System-2740,E,3,3,1,4,5,2,7,E331452-7
System-2741,C,5,4,3,2,5,5,6,C543255-6
System-2742,D,6,4,5,3,5,7,7,D645357-7
System-2743,E,5,1,0,4,3,5,7,E510435-7
System-2744,C,2,5,4,6,6,8,4,C254668-4
System-2745,E,4,1,0,3,8,5,5,E410385-5
System-2746,C,3,6,6,5,4,8,5,C366548-5
System-2747,C,6,A,7,4,2,2,A,C6A7422-A
System-2748,B,5,5,1,4,3,0,A,B551430-A
System-2749,C,5,4,3,2,0,1,8,C543201-8
System-2750,B,5,9,6,9,5,5,C,B596955-C
System-2751,E,3,6,5,3,1,2,5,E365312-5
System-2752,E,5,2,0,9,B,E,5,E5209BE-5
System-2753,B,7,8,A,6,4,6,C,B78A646-C
System-2754,X,2,3,3,4,3,0,2,X233430-2
System-2755,B,7,6,5,3,0,2,9,B765302-9
System-2756,B,A,5,6,3,4,6,6,BA56346-6
System-2757,X,6,4,3,1,1,0,2,X643110-2
System-2758,E,4,7,9,2,0,0,8,E479200-8
System-2759,E,5,6,7,4,4,1,3,E567441-3
System-2760,C,1,0,0,2,3,4,C,C100234-C
System-2761,E,9,C,A,9,5,4,9,E9CA954-9
System-2762,C,5,4,2,3,0,2,A,C542302-A
System-2763,D,9,A,7,5,5,3,4,D9A7553-4
System-2764,C,3,0,0,4,0,1,7,C300401-7
System-2765,C,F,B,7,4,5,1,B,CFB7451-B
System-2766,C,8,9,7,2,4,9,9,C897249-9
System-2767,D,6,3,0,5,4,2,7,D630542-7
System-2768,C,6,6,1,5,A,9,5,C6615A9-5
System-2769,B,3,5,5,0,5,9,7,B355059-7
System-2770,D,6,B,8,7,B,B,6,D6B87BB-6
System-2771,C,5,5,7,4,6,8,7,C557468-7
System-2772,C,1,6,0,3,5,0,A,C160350-A
System-2773,D,8,B,7,2,3,3,5,D8B7233-5
System-2774,B,0,0,0,7,4,1,8,B000741-8
System-2775,C,8,6,7,6,8,8,4,C867688-4
System-2776,D,5,4,7,1,0,3,6,D547103-6
System-2777,D,6,6,8,7,7,7,5,D668777-5
System-2778,D,8,A,8,5,3,4,7,D8A8534-7
System-2779,D,7,7,7,7,4,1,1,D777741-1
System-2780,E,5,1,0,5,2,4,5,E510524-5
System-2781,B,2,2,1,5,6,7,A,B221567-A
System-2782,C,B,9,A,6,8,A,A,CB9A68A-A
System-2783,D,5,9,7,1,4,8,5,D597148-5
System-2784,B,7,3,0,4,4,4,7,B730444-7
System-2785,B,6,4,4,6,5,7,7,B644657-7
System-2786,D,5,3,4,3,1,2,7,D534312-7
System-2787,X,3,4,7,5,6,5,3,X347565-3
System-2788,D,9,7,5,5,0,1,8,D975501-8
System-2789,E,1,2,0,2,0,2,6,E120202-6
System-2790,X,5,4,5,1,0,0,4,X545100-4
System-2791,E,8,C,4,4,4,7,5,E8C4447-5
System-2792,A,8,3,4,5,4,6,E,A834546-E
System-2793,E,6,4,3,6,3,4,6,E643634-6
System-2794,C,5,2,3,5,8,8,5,C523588-5
System-2795,X,0,0,0,1,4,2,3,X000142-3
System-2796,C,1,4,0,3,7,7,9,C140377-9
System-2797,C,6,A,8,4,0,0,7,C6A8400-7
System-2798,X,5,6,5,0,1,2,0,X565012-0
System-2799,D,5,1,0,6,6,8,2,D510668-2
System-2800,D,2,0,0,5,6,6,8,D200566-8
System-2801,C,6,7,8,4,3,1,7,C678431-7
System-2802,X,5,8,6,6,2,0,0,X586620-0
System-2803,E,4,3,0,1,4,0,4,E430140-4
System-2804,X,2,4,1,9,A,6,1,X2419A6-1
System-2805,D,6,3,5,3,4,3,6,D635343-6
System-2806,D,6,6,4,3,6,1,7,D664361-7
System-2807,D,4,4,2,7,6,3,5,D442763-5
System-2808,B,3,2,6,8,A,9,A,B3268A9-A
System-2809,E,6,6,3,6,7,9,5,E663679-5
System-2810,E,0,0,0,8,8,8,6,E000888-6
System-2811,B,1,3,0,8,9,C,8,B13089C-8
System-2812,X,6,4,3,2,2,7,0,X643227-0
System-2813,E,4,3,4,5,6,8,4,E434568-4
System-2814,C,D,F,A,9,8,B,C,CDFA98B-C
System-2815,B,3,4,2,1,0,0,D,B342100-D
System-2816,B,9,E,8,9,7,8,B,B9E8978-B
System-2817,E,8,8,A,5,6,7,7,E88A567-7
System-2818,B,5,8,5,7,9,9,9,B585799-9
System-2819,C,2,1,0,6,2,0,5,C210620-5
System-2820,X,4,1,2,8,8,A,0,X41288A-0
System-2821,C,5,1,0,6,A,8,5,C5106A8-5
System-2822,C,4,5,3,7,A,A,4,C4537AA-4
System-2823,E,4,7,7,6,2,0,7,E477620-7
System-2824,X,7,5,2,7,B,C,0,X7527BC-0
System-2825,C,3,1,0,7,3,6,6,C310736-6
System-2826,B,2,2,3,4,2,0,D,B223420-D
System-2827,E,1,0,0,9,B,9,A,E1009B9-A
System-2828,D,5,8,9,1,1,0,5,D589110-5
System-2829,D,5,2,0,2,4,8,8,D520248-8
System-2830,B,1,0,0,7,C,G,B,B1007CG-B
System-2831,B,7,7,6,5,3,6,7,B776536-7
System-2832,E,4,6,8,0,0,1,6,E468001-6
System-2833,D,5,4,7,5,9,C,2,D54759C-2
System-2834,C,4,6,6,7,7,6,4,C466776-4
System-2835,E,3,0,0,1,3,7,9,E300137-9
System-2836,E,2,6,9,1,6,7,7,E269167-7
System-2837,E,8,9,9,0,0,0,8,E899000-8
System-2838,C,6,8,8,1,3,3,6,C688133-6
System-2839,C,5,8,7,5,4,0,7,C587540-7
System-2840,X,7,7,3,4,6,9,0,X773469-0
System-2841,B,6,6,8,9,7,9,7,B668979-7
System-2842,E,4,8,7,6,2,0,7,E487620-7
System-2843,X,1,0,0,B,C,F,5,X100BCF-5
System-2844,X,3,0,0,3,5,2,1,X300352-1
System-2845,D,7,9,A,2,4,7,9,D79A247-9
System-2846,B,8,5,2,5,0,0,7,B852500-7
System-2847,D,6,A,8,3,3,0,4,D6A8330-4
System-2848,B,4,5,7,2,4,4,A,B457244-A
System-2849,E,2,6,9,6,1,3,4,E269613-4
System-2850,C,4,5,1,8,A,7,7,C4518A7-7
System-2851,D,5,1,0,7,9,5,6,D510795-6
System-2852,E,2,7,7,5,7,5,8,E277575-8
System-2853,A,6,5,5,7,7,7,B,A655777-B
System-2854,B,5,5,4,9,6,4,A,B554964-A
System-2855,C,5,5,2,4,3,1,5,C552431-5
System-2856,E,4,9,A,6,7,5,7,E49A675-7
System-2857,D,6,B,3,6,A,A,7,D6B36AA-7
System-2858,D,3,4,6,6,1,1,3,D346611-3
System-2859,E,7,7,9,3,2,1,8,E779321-8
System-2860,C,5,9,9,8,A,A,9,C5998AA-9
System-2861,B,5,7,5,6,6,6,6,B575666-6
System-2862,C,6,A,A,5,2,7,8,C6AA527-8
System-2863,C,4,3,0,5,3,3,A,C430533-A
System-2864,D,5,8,6,2,1,1,5,D586211-5
System-2865,E,4,0,0,C,9,D,A,E400C9D-A
System-2866,C,9,5,6,7,C,E,8,C9567CE-8
System-2867,E,8,9,8,5,8,5,6,E898585-6
System-2868,C,4,2,6,6,5,5,9,C426655-9
System-2869,E,7,6,8,7,5,9,6,E768759-6
System-2870,C,A,8,7,8,B,F,4,CA878BF-4
System-2871,C,5,3,3,8,8,6,8,C533886-8
System-2872,X,4,0,0,7,5,7,3,X400757-3
System-2873,X,4,5,4,4,4,0,0,X454440-0
System-2874,B,7,8,9,2,2,4,8,B789224-8
System-2875,D,5,1,0,4,6,B,6,D51046B-6
System-2876,D,9,B,8,1,2,1,6,D9B8121-6
System-2877,E,3,4,8,4,4,7,8,E348447-8
System-2878,B,6,B,6,1,0,0,C,B6B6100-C
System-2879,D,5,4,4,2,3,3,6,D544233-6
System-2880,C,6,6,3,2,2,1,9,C663221-9
System-2881,B,5,1,0,9,A,6,9,B5109A6-9
System-2882,A,3,3,1,5,8,8,A,A331588-A
System-2883,E,7,5,6,0,0,2,7,E756002-7
System-2884,C,4,0,0,3,4,9,8,C400349-8
System-2885,B,9,B,8,5,6,B,B,B9B856B-B
System-2886,D,3,6,7,5,7,9,5,D367579-5
System-2887,C,9,9,A,1,6,4,8,C99A164-8
System-2888,D,3,4,6,6,5,5,7,D346655-7
System-2889,C,6,6,9,2,2,0,7,C669220-7
System-2890,C,5,1,0,1,2,4,7,C510124-7
System-2891,X,6,5,7,9,7,8,3,X657978-3
System-2892,E,5,5,3,7,9,9,4,E553799-4
System-2893,D,6,9,5,4,4,0,6,D695440-6
System-2894,C,3,1,0,5,3,0,A,C310530-A
System-2895,B,C,D,8,4,3,5,7,BCD8435-7
System-2896,X,5,2,0,5,1,0,3,X520510-3
System-2897,B,8,A,4,6,6,3,B,B8A4663-B
System-2898,B,6,6,8,5,6,A,B,B66856A-B
System-2899,C,6,6,7,9,9,9,7,C667999-7
System-2900,E,3,3,0,5,7,3,7,E330573-7
System-2901,B,2,0,0,3,2,4,B,B200324-B
System-2902,C,6,6,7,4,1,4,9,C667414-9
System-2903,X,5,7,3,3,1,0,1,X573310-1
System-2904,X,6,6,4,6,3,0,0,X664630-0
System-2905,D,7,4,4,2,2,0,6,D744220-6
System-2906,X,8,5,3,3,7,8,1,X853378-1
System-2907,X,3,6,8,6,6,1,2,X368661-2
System-2908,X,5,7,5,1,0,0,3,X575100-3
System-2909,C,4,5,A,0,0,3,A,C45A003-A
System-2910,C,6,4,4,3,1,3,8,C644313-8
System-2911,C,5,8,A,2,4,3,7,C58A243-7
System-2912,E,2,3,6,4,4,4,4,E236444-4
System-2913,D,9,6,A,1,1,2,4,D96A112-4
System-2914,E,5,5,7,4,0,1,6,E557401-6
System-2915,C,3,3,4,7,6,5,5,C334765-5
System-2916,D,8,B,6,A,8,8,7,D8B6A88-7
System-2917,X,6,8,A,6,8,9,0,X68A689-0
System-2918,D,4,2,0,6,7,6,8,D420676-8
System-2919,E,4,6,5,0,2,6,3,E465026-3
System-2920,E,E,F,7,4,3,3,8,EEF7433-8
System-2921,D,6,9,7,7,4,1,6,D697741-6
System-2922,D,5,7,9,5,7,4,4,D579574-4
System-2923,D,9,6,1,1,1,2,6,D961112-6
System-2924,C,5,6,6,4,8,D,8,C56648D-8
System-2925,C,5,8,8,7,5,8,4,C588758-4
System-2926,B,5,3,2,B,C,D,A,B532BCD-A
System-2927,C,3,3,3,3,1,0,B,C333310-B
System-2928,X,2,2,3,6,5,5,1,X223655-1
System-2929,D,7,7,9,4,4,5,4,D779445-4
System-2930,C,5,8,8,4,1,0,5,C588410-5
System-2931,C,7,9,A,4,4,6,9,C79A446-9
System-2932,E,7,9,A,3,3,0,8,E79A330-8
System-2933,E,7,6,6,6,2,0,4,E766620-4
System-2934,E,4,5,6,4,6,7,5,E456467-5
System-2935,E,6,4,6,1,4,3,4,E646143-4
System-2936,B,1,0,0,4,4,3,E,B100443-E
System-2937,D,4,8,A,6,7,5,6,D48A675-6
System-2938,E,3,1,0,9,A,D,6,E3109AD-6
System-2939,C,2,6,9,6,3,2,5,C269632-5
System-2940,X,9,7,3,4,4,4,3,X973444-3
System-2941,C,6,9,4,1,1,2,5,C694112-5
System-2942,E,8,A,4,7,A,C,4,E8A47AC-4
System-2943,C,3,7,7,0,3,2,8,C377032-8
System-2944,D,8,4,7,3,3,1,4,D847331-4
System-2945,X,9,6,6,B,9,8,1,X966B98-1
System-2946,C,6,5,6,1,3,4,7,C656134-7
System-2947,D,5,0,0,3,6,4,5,D500364-5
System-2948,E,5,3,6,4,4,5,8,E536445-8
System-2949,E,D,F,A,5,6,8,5,EDFA568-5
System-2950,E,3,0,0,8,5,2,6,E300852-6
System-2951,E,4,8,8,7,2,4,4,E488724-4
System-2952,C,8,8,9,6,4,5,9,C889645-9
System-2953,C,7,5,6,3,0,0,9,C756300-9
System-2954,D,8,5,9,5,5,1,7,D859551-7
System-2955,E,3,2,1,4,3,2,8,E321432-8
System-2956,E,3,2,6,2,5,7,9,E326257-9
System-2957,X,5,5,9,7,8,9,2,X559789-2
System-2958,E,5,5,8,4,0,0,5,E558400-5
System-2959,C,2,1,0,5,0,0,7,C210500-7
System-2960,E,6,A,4,2,5,9,9,E6A4259-9
System-2961,X,9,9,8,1,2,0,0,X998120-0
System-2962,D,7,6,4,7,5,1,4,D764751-4
System-2963,X,2,2,1,4,4,4,2,X221444-2
System-2964,X,6,6,4,5,7,9,1,X664579-1
System-2965,C,4,3,0,8,A,8,7,C4308A8-7
System-2966,D,8,9,9,5,2,2,5,D899522-5
System-2967,X,2,2,3,3,7,9,1,X223379-1
System-2968,C,9,D,5,6,4,0,7,C9D5640-7
System-2969,E,7,7,7,5,3,7,7,E777537-7
System-2970,C,3,6,8,5,5,7,6,C368557-6
System-2971,X,3,3,3,2,3,3,0,X333233-0
System-2972,B,7,A,1,7,9,9,A,B7A1799-A
System-2973,A,5,5,8,6,8,7,9,A558687-9
System-2974,E,5,2,5,B,B,A,6,E525BBA-6
System-2975,E,7,B,8,B,D,D,5,E7B8BDD-5
System-2976,E,6,3,3,8,6,3,2,E633863-2
System-2977,D,5,7,4,5,1,0,6,D574510-6
System-2978,D,4,2,7,7,5,8,5,D427758-5
System-2979,E,0,0,0,0,0,0,8,E000000-8
System-2980,B,2,0,0,1,0,1,B,B200101-B
System-2981,C,4,5,6,8,B,B,7,C4568BB-7
System-2982,E,6,7,3,3,0,3,5,E673303-5
System-2983,E,1,0,0,4,1,1,7,E100411-7
System-2984,B,2,0,0,3,1,5,B,B200315-B
System-2985,D,6,9,5,6,5,9,5,D695659-5
System-2986,B,3,0,0,4,2,2,B,B300422-B
System-2987,C,5,2,0,3,4,7,6,C520347-6
System-2988,E,2,1,0,3,0,4,7,E210304-7
System-2989,D,4,1,0,5,4,5,9,D410545-9
System-2990,E,3,3,7,3,2,4,8,E337324-8
System-2991,X,6,4,4,1,1,0,1,X644110-1
System-2992,D,2,5,5,2,3,3,7,D255233-7
System-2993,C,5,5,9,5,2,4,9,C559524-9
System-2994,D,2,4,5,9,A,C,8,D2459AC-8
System-2995,D,2,3,3,1,3,0,8,D233130-8
System-2996,X,9,C,7,9,7,A,5,X9C797A-5
System-2997,E,7,7,4,4,6,6,3,E774466-3
System-2998,B,7,7,4,7,B,A,5,B7747BA-5
System-2999,E,4,6,6,8,9,8,3,E466898-3
System-3000,B,6,4,4,6,5,5,8,B644655-8
System-3001,C,3,1,0,9,C,F,B,C3109CF-B
System-3002,A,1,0,0,6,4,4,D,A100644-D
System-3003,D,5,7,9,7,5,7,3,D579757-3
System-3004,C,5,8,A,5,8,9,8,C58A589-8
System-3005,E,0,0,0,1,6,3,8,E000163-8
System-3006,B,7,9,5,5,9,6,6,B795596-6
System-3007,B,6,4,6,4,0,0,C,B646400-C
System-3008,E,1,4,0,8,4,6,7,E140846-7
System-3009,E,5,5,7,9,8,A,7,E55798A-7
System-3010,A,9,6,9,6,3,2,C,A969632-C
System-3011,A,3,5,7,2,3,5,C,A357235-C
System-3012,B,2,2,0,4,1,4,9,B220414-9
System-3013,E,5,2,0,6,9,C,3,E52069C-3
System-3014,D,3,0,0,9,8,9,A,D300989-A
System-3015,C,0,0,0,7,9,D,8,C00079D-8
System-3016,E,6,B,5,2,2,1,8,E6B5221-8
System-3017,X,4,7,3,5,1,1,3,X473511-3
System-3018,C,5,7,3,4,7,4,4,C573474-4
System-3019,D,4,9,A,3,7,6,8,D49A376-8
System-3020,E,8,8,6,5,2,2,5,E886522-5
System-3021,E,6,7,8,7,5,4,6,E678754-6
System-3022,A,0,0,0,3,1,0,F,A000310-F
System-3023,X,2,0,0,6,4,5,2,X200645-2
System-3024,E,4,1,0,5,1,3,7,E410513-7
System-3025,E,4,6,6,3,4,2,4,E466342-4
System-3026,C,4,7,4,6,8,6,4,C474686-4
System-3027,X,C,D,6,7,8,D,0,XCD678D-0
System-3028,E,7,6,5,9,8,9,7,E765989-7
System-3029,C,6,2,2,5,6,3,8,C622563-8
System-3030,C,5,5,3,4,3,4,4,C553434-4
System-3031,D,4,0,0,6,7,B,4,D40067B-4
System-3032,E,2,0,0,5,7,6,6,E200576-6
System-3033,C,6,6,4,9,5,9,B,C664959-B
System-3034,D,5,1,1,1,4,6,3,D511146-3
System-3035,B,6,8,6,2,0,1,B,B686201-B
System-3036,E,4,1,0,7,A,C,8,E4107AC-8
System-3037,E,5,6,9,7,6,8,7,E569768-7
System-3038,E,6,6,7,7,9,A,5,E66779A-5
System-3039,X,3,5,1,1,0,0,1,X351100-1
System-3040,D,5,5,6,2,3,8,4,D556238-4
System-3041,E,8,5,7,5,5,7,3,E857557-3
System-3042,X,6,4,6,8,7,7,1,X646877-1
System-3043,C,7,A,4,4,6,3,7,C7A4463-7
System-3044,E,4,4,5,6,7,8,5,E445678-5
